rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Brd8,0.008580242,0.488437331,0.539,0.371,1,1.402924461,,,
Hmgcr,0.024799813,0.487944089,0.285,0.18,1,1.402444898,,,
Vti1b,0.006692221,0.487802345,0.482,0.36,1,1.402307116,,,
Gm26749,0.000386409,0.487349389,0.383,0.169,1,1.401866909,,,
Fam126a,0.016931769,0.487161963,0.28,0.157,1,1.401684799,,,
Rgs12,0.000669505,0.486907548,0.539,0.303,1,1.401437638,,,
Mettl27,0.008346374,0.486588286,0.238,0.112,1,1.401127541,,,
Gm20713,0.27158877,0.48647904,0.155,0.112,1,1.401021446,,,
Vezf1,0.015234917,0.48636104,0.378,0.247,1,1.400906859,,,
Cdyl,0.001650763,0.485287031,0.513,0.315,1,1.399864347,,,
Acer2,0.346758002,0.484998525,0.389,0.348,1,1.399584434,,,
Hira,0.015336635,0.483964582,0.472,0.348,1,1.398581748,,,
Trappc6b,0.004211569,0.483447826,0.43,0.27,1,1.398080882,,,
Dhcr24,6.33E-05,0.482098203,0.218,0.034,1,1.396773607,,,
Ube2d1,0.029447897,0.481546386,0.352,0.247,1,1.396239456,,,
Gm49797,0.001204388,0.48130166,0.472,0.258,1,1.396002631,,,
Slc16a7,0.003690886,0.480913308,0.461,0.281,1,1.395626898,,,
Gm17114,0.001462005,0.479004062,0.166,0.034,1,1.393781163,,,
Tasor2,0.011843122,0.477637827,0.528,0.393,1,1.392461874,,,
D530033B14Rik,8.93E-05,0.477034373,0.155,0,1,1.391879554,,,
Junos,0.011255313,0.476824477,0.845,0.787,1,1.391677066,,,
4930402H24Rik,0.00101939,0.476774976,0.933,0.921,1,1.391629316,,,
2610035D17Rik,0.009936121,0.476606637,0.891,0.787,1,1.391466945,,,
Fubp1,0.000913894,0.47652931,0.896,0.809,1,1.391392366,,,
Kantr,0.004877113,0.476397904,0.28,0.135,1,1.391265638,,,
Arfgap3,0.004391957,0.47607379,0.44,0.27,1,1.390953114,,,
Supt20,0.010237183,0.475941852,0.534,0.404,1,1.390825913,,,
Tbx2,0.005640976,0.47575984,0.29,0.146,1,1.390650456,,,
Clca3a1,0.03416335,0.474751588,0.446,0.326,1,1.389678916,,,
Rp9,0.010061838,0.474740538,0.425,0.281,1,1.389668272,,,
Pacs1,0.065517863,0.47462233,0.477,0.404,1,1.389554414,,,
Tbc1d2,0.023628373,0.474320785,0.461,0.326,1,1.389264006,,,
Smarcc2,0.014953783,0.474032922,0.508,0.371,1,1.388986831,,,
Homer2,0.008248803,0.473576084,0.352,0.191,1,1.38854707,,,
Pitpnm3,0.015583998,0.472885169,0.218,0.101,1,1.387882247,,,
Lactb,0.004793381,0.472780453,0.264,0.124,1,1.387781512,,,
Ptpn9,0.005611438,0.471717449,0.565,0.416,1,1.386759347,,,
H2-Q4,0.000364336,0.471708801,0.228,0.056,1,1.386751034,,,
Plekhg6,0.000799517,0.471123825,0.259,0.079,1,1.386188856,,,
Perp,0.002963077,0.470767273,0.233,0.09,1,1.385846311,,,
Aox3,0.003298503,0.470638559,0.135,0.022,1,1.385722674,,,
Mecom,3.09E-06,0.470229457,1,0.989,0.099664321,1.385329784,,,
Ivl,0.002152589,0.469991171,0.181,0.045,1,1.385100991,,,
Lysmd4,0.025069524,0.469592455,0.451,0.348,1,1.384718245,,,
Purb,0.020653634,0.468168624,0.487,0.36,1,1.383352307,,,
Shh,0.000711642,0.467547125,0.14,0.011,1,1.382756501,,,
Gm20275,0.017272099,0.466618374,0.404,0.27,1,1.381866623,,,
Mgmt,0.061784775,0.466526462,0.254,0.169,1,1.381778589,,,
Osbpl2,0.002853379,0.466409105,0.508,0.315,1,1.381666192,,,
Elf4,0.049023951,0.466295149,0.383,0.281,1,1.381557061,,,
Ebpl,0.015315913,0.4661655,0.207,0.101,1,1.381432911,,,
Atp6v0a1,0.007987735,0.466077051,0.642,0.528,1,1.381348221,,,
Sdad1,0.004392236,0.465514157,0.212,0.079,1,1.380809368,,,
Pigr,0.260338002,0.465172663,0.181,0.135,1,1.380482561,,,
Top1,0.005279248,0.464527995,0.803,0.685,1,1.37986583,,,
Cdk18,0.18468096,0.462941592,0.254,0.202,1,1.378349349,,,
Pttg1ip,0.003001098,0.461783567,0.228,0.09,1,1.377243417,,,
Fnip2,0.009972276,0.460744888,0.534,0.371,1,1.376252217,,,
Zfp36l1,0.012139659,0.460322679,0.554,0.427,1,1.375849511,,,
Ripk2,0.050346142,0.460245214,0.197,0.112,1,1.375775638,,,
Tns4,0.05214972,0.45986356,0.233,0.135,1,1.375411735,,,
Prrc1,0.003059257,0.459078751,0.326,0.169,1,1.374663731,,,
Gm49890,0.018890096,0.45846858,0.606,0.494,1,1.374082456,,,
A930037H05Rik,0.019110703,0.458404802,0.264,0.146,1,1.374021713,,,
Maml3,0.002013355,0.458146984,0.907,0.831,1,1.373776189,,,
Tgif1,0.000896663,0.457724653,0.29,0.112,1,1.373374092,,,
Gm12145,0.000593809,0.456990956,0.207,0.045,1,1.372675826,,,
Arhgap10,0.015877833,0.456610636,0.648,0.539,1,1.372314012,,,
Htr4,0.047695133,0.456129778,0.197,0.101,1,1.371856689,,,
Sgsm3,0.009749409,0.455487165,0.622,0.483,1,1.371245765,,,
Gm46367,0.011827058,0.454479772,0.316,0.191,1,1.370288597,,,
Syt16,0.014498219,0.454239045,0.44,0.303,1,1.370059971,,,
Thap3,0.001830074,0.454011271,0.373,0.191,1,1.369843682,,,
Pcyox1,0.001765065,0.454005617,0.249,0.09,1,1.369838313,,,
Clip4,0.003912335,0.453752218,0.181,0.056,1,1.369597732,,,
Eif4enif1,9.27E-05,0.453370146,0.482,0.225,1,1.369235066,,,
Rab27a,0.003057031,0.453071471,0.223,0.079,1,1.368951629,,,
Tnip1,0.020352405,0.451978252,0.254,0.146,1,1.367914683,,,
Tent4b,0.004936695,0.451239785,0.466,0.303,1,1.367214672,,,
Mboat1,0.192246893,0.450557968,0.518,0.472,1,1.36656868,,,
Pde2a,0.001988852,0.450001885,0.181,0.045,1,1.366042041,,,
Snx10,0.005436131,0.449904481,0.378,0.202,1,1.365949816,,,
Slc12a7,0.014066639,0.449826335,0.383,0.258,1,1.365875829,,,
Efs,0.000474333,0.449785732,0.171,0.022,1,1.365837388,,,
Fbxw11,0.006418789,0.449122404,0.762,0.652,1,1.365209543,,,
Cldn7,0.004606879,0.448243008,0.352,0.191,1,1.364377632,,,
Gm15738,0.010522599,0.44785189,0.347,0.213,1,1.364007796,,,
4921518K17Rik,0.004840559,0.44760288,0.218,0.079,1,1.363772388,,,
Maml2,0.000258657,0.445347817,0.948,0.899,1,1.361642353,,,
Fam83b,0.067270237,0.445343144,0.415,0.303,1,1.361637943,,,
Cul1,0.001585715,0.444758722,0.798,0.629,1,1.361086468,,,
Clcc1,0.0007206,0.444619642,0.218,0.056,1,1.360955261,,,
2610020C07Rik,0.015222847,0.444294886,0.451,0.315,1,1.360648939,,,
Lancl3,0.144363983,0.444071474,0.197,0.135,1,1.36043825,,,
Srsf7,6.97E-05,0.443457724,0.668,0.427,1,1.359859616,,,
Filip1l,0.011431916,0.44194697,0.44,0.292,1,1.358436351,,,
Usp1,0.002534104,0.441652501,0.238,0.09,1,1.358159108,,,
Atp8b1,0.002294719,0.44104464,0.886,0.865,1,1.357586986,,,
Gm44148,0.157687943,0.44095849,0.275,0.213,1,1.35750592,,,
Adipor2,0.003012965,0.4408971,0.617,0.449,1,1.357448156,,,
Atpaf1,0.004050388,0.440826727,0.311,0.157,1,1.357381943,,,
D5Ertd615e,0.43105187,0.440408396,0.166,0.135,1,1.356988408,,,
Atp10a,0.036441957,0.439959496,0.233,0.135,1,1.356566241,,,
Gpld1,0.001140795,0.439590158,0.207,0.056,1,1.356218997,,,
Gm34408,0.001346336,0.439140301,0.15,0.022,1,1.35579617,,,
Ube2w,0.007336454,0.438958694,0.487,0.326,1,1.355625513,,,
Acly,0.003615941,0.438614976,0.306,0.146,1,1.355302578,,,
Rnf180,0.144265825,0.43849838,0.337,0.27,1,1.355193049,,,
Gm26512,0.002171814,0.437881112,0.124,0.011,1,1.354613344,,,
Gm10785,0.00304813,0.437079471,0.259,0.112,1,1.353860855,,,
Vav3,0.00031845,0.436905711,0.601,0.382,1,1.353697804,,,
Adamtsl5,0.001458745,0.436841733,0.15,0.022,1,1.353637773,,,
Echdc1,0.012870907,0.436614386,0.301,0.169,1,1.353424477,,,
Slc1a4,0.017781743,0.436358407,0.155,0.056,1,1.353184359,,,
Atxn10,0.009520857,0.436175942,0.679,0.573,1,1.353013226,,,
Atg16l1,0.00717349,0.435955743,0.487,0.337,1,1.352806731,,,
Tnfrsf19,0.005249982,0.43594846,0.218,0.079,1,1.352799901,,,
Col17a1,0.004350966,0.435881663,0.109,0.011,1,1.352737269,,,
St7,0.032677361,0.43579761,0.554,0.438,1,1.352658459,,,
Birc2,0.097845713,0.434551994,0.332,0.258,1,1.351491084,,,
Parp14,0.692083331,0.434153609,0.316,0.303,1,1.351117936,,,
Acvr1,0.001356272,0.433252536,0.56,0.36,1,1.350274323,,,
Trmu,0.000259069,0.432836388,0.202,0.034,1,1.34988489,,,
Marcks,0.007746945,0.432723132,0.295,0.157,1,1.349778924,,,
Gmcl1,0.056173913,0.432511469,0.301,0.191,1,1.349580907,,,
Slc1a5,0.004094054,0.432294619,0.373,0.213,1,1.349378069,,,
Zranb2,0.005005278,0.43209926,0.554,0.404,1,1.349195358,,,
Ip6k1,0.004421889,0.431368233,0.544,0.36,1,1.348511881,,,
Sppl3,0.001126152,0.43099569,0.813,0.652,1,1.348163704,,,
Gm49417,0.004599239,0.430991477,0.415,0.247,1,1.348159767,,,
Bcl2l14,9.22E-05,0.429872534,0.181,0.011,1,1.34711455,,,
Jun,0.006651628,0.429673606,0.285,0.146,1,1.346928815,,,
E530011L22Rik,0.001806652,0.429172944,0.259,0.101,1,1.346461468,,,
Ptprr,0.132424506,0.429121831,0.244,0.169,1,1.346413765,,,
Timmdc1,0.002512768,0.428794586,0.28,0.124,1,1.346108394,,,
Brd3,0.00853596,0.428585651,0.347,0.202,1,1.345913461,,,
Ptprs,0.023664684,0.428238909,0.368,0.258,1,1.345590019,,,
Rufy1,0.00370618,0.427704051,0.394,0.202,1,1.345091254,,,
Fads2,0.003457409,0.427640105,0.28,0.124,1,1.345031634,,,
Cdc42ep3,0.007050186,0.427573279,0.244,0.112,1,1.344969334,,,
