rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
Ucp2,0,0.345683083141286,0.175,0.008,0,1.27075251240457
Arhgef28,1.61814299830178e-139,0.345299123315825,0.941,0.935,5.22077656972086e-135,1.27041435847917
Ate1,5.46923498053384e-171,0.343952536848382,0.402,0.247,1.76459397411944e-166,1.26922912902762
2210408F21Rik,1.96762154489367e-92,0.343119045844408,0.828,0.769,6.34833415244493e-88,1.26849606659851
Abhd17c,5.0822216576489e-102,0.342246736296722,0.706,0.597,1.63972799562384e-97,1.26772931635452
P2rx4,1.35813005319948e-156,0.340537686164473,0.436,0.28,4.38187080364281e-152,1.26622842386447
Nedd9,2.11392849916319e-67,0.339871140790823,0.386,0.299,6.82037890970012e-63,1.26564354366845
Smad7,1.13183467235157e-107,0.339799603595477,0.503,0.369,3.6517513868751e-103,1.2655807872701
Ddhd2,5.36111743240896e-127,0.339051579503845,0.369,0.238,1.72971092839243e-122,1.26492476537312
Angpt1,1.17484442531525e-29,0.337363660961111,0.328,0.276,3.79051805383711e-25,1.26344569918717
Gm48678,5.72292590107289e-107,0.336927046181718,0.538,0.404,1.84644481272216e-102,1.26306338997805
Slc39a14,8.67111093061582e-107,0.336163242232858,0.747,0.631,2.79764723065389e-102,1.262394865138
Gm13270,2.35049877853083e-112,0.335759148287971,0.468,0.332,7.58364925905188e-108,1.26204132217086
Kmo,2.61413349157721e-79,0.331785944171833,0.677,0.57,8.43424029722472e-75,1.25857042279624
Tuft1,2.99846219836383e-112,0.331487652026275,0.46,0.317,9.67423843680106e-108,1.25831022722294
Cyp4a10,8.3123591211095e-83,0.330529519928866,0.296,0.199,2.68189954683477e-78,1.25747482741421
Sgpp1,3.62954534099539e-70,0.330422520154895,0.373,0.278,1.17103650881875e-65,1.25738156825057
Mgll,4.84419834248526e-175,0.327843315631779,0.237,0.109,1.56293215321944e-170,1.25513566945898
Gm13963,6.04489897725079e-134,0.324922009937758,0.198,0.092,1.9503262060202e-129,1.25259672317895
Sec24a,5.75810068018815e-110,0.324543987780806,0.75,0.641,1.85779360345591e-105,1.2522685545283
Acsl4,1.38269946040309e-44,0.324210798420521,0.363,0.292,4.46114153904453e-40,1.25197937741911
Acaa2,2.29844672491285e-153,0.322318278236039,0.32,0.177,7.41570851325882e-149,1.25033811383019
Pex11a,4.01807701455022e-186,0.320553745785144,0.428,0.251,1.29639236797448e-181,1.24880978424873
Auts2,3.80972985363848e-194,0.319466783776169,0.987,0.967,1.22917123997792e-189,1.24786925452538
Tmem178b,1.1825458991084e-90,0.319200295342018,0.159,0.08,3.81536608888334e-86,1.24763877476133
Syn3,1.28426230717854e-07,0.318640480814682,0.696,0.693,0.00414354390788086,1.24715474258661
Tesk2,1.76130496625624e-65,0.318426201524987,0.615,0.519,5.68267434312912e-61,1.24696952008314
Dgat2,1.23770824398199e-57,0.318098028384748,0.5,0.398,3.99334187838348e-53,1.24668590133365
Mthfd1l,1.52533956249868e-113,0.317369152745735,0.249,0.14,4.92135556444574e-109,1.24605621213714
Abhd6,1.19886921936256e-116,0.314375018764148,0.21,0.11,3.86803164935135e-112,1.24347285920948
Pcyt1a,5.63899907075267e-95,0.313571213088227,0.594,0.466,1.81936666018764e-90,1.24278024426038
Hivep2,2.44374243840784e-57,0.313505325597908,0.657,0.578,7.88449060327907e-53,1.2427234881205
Gm48383,2.86094729128335e-91,0.313203602659286,0.325,0.216,9.23056034059659e-87,1.24246361408908
Arnt2,1.09763342428621e-163,0.312905928731275,0.345,0.193,3.54140448011703e-159,1.24220728072635
Epb41l3,1.63695058219593e-33,0.31235832960693,0.492,0.425,5.28145735839694e-29,1.24173586956906
Aldh1a7,2.23469391586488e-58,0.310957519944718,0.193,0.123,7.21001645014644e-54,1.24053076983525
Lncpint,4.74183357542102e-124,0.309401803427318,0.96,0.95,1.52990518477384e-119,1.23919377623932
Cyp4a12a,4.52741739717566e-156,0.308958447635302,0.219,0.1,1.46072594902475e-151,1.23881301709594
Alpl,6.95576377817956e-28,0.307778555534949,0.55,0.491,2.24420762539185e-23,1.23780028182573
Rbpms,2.3041465194021e-76,0.306037971450564,0.855,0.861,7.43409833019894e-72,1.23630779987159
Miox,0.568935336974444,0.305933492847702,0.422,0.456,1,1.23621827087829
Slc16a9,4.47722099763192e-11,0.305032215842672,0.748,0.728,1.44453058267596e-06,1.23544622472909
Crot,3.61627721959935e-14,0.303949327756608,0.428,0.495,1.16675568213153e-09,1.23451924571428
Immp2l,9.42754494837802e-78,0.303118114795609,0.87,0.864,3.04170310214468e-73,1.23380817870695
Plin2,3.48116941852854e-118,0.302243107292974,0.294,0.172,1.12316450119405e-113,1.23306008984699
Snhg11,3.09834208210483e-37,0.301083320600619,0.458,0.389,9.99649089370301e-33,1.23206922762651
Ext1,1.4878457197111e-71,0.3008139471577,0.949,0.953,4.80038543007588e-67,1.23183920275078
Eno1,2.90743469443439e-120,0.299282212881211,0.31,0.197,9.38054729812312e-116,1.23053203181021
Vwa8,2.0830495087886e-166,0.29683857257659,0.966,0.928,6.72075093515555e-162,1.2284495178983
Gramd1b,3.2229065068083e-39,0.296820691376235,0.912,0.956,1.03983855535663e-34,1.22843429221636
Trim24,2.30334044463891e-65,0.29660044193013,0.586,0.48,7.43149761058299e-61,1.22824676726264
Aldob,0.0130707977587586,0.295652914318607,0.568,0.617,1,1.2274403489974
Ipmk,1.05524692395263e-10,0.294309008438726,0.401,0.374,3.40464867544077e-06,1.22629749053518
Psat1,3.07243002924898e-148,0.292456775436395,0.135,0.045,9.9128882463689e-144,1.22472409410827
Slc22a23,3.26529952945153e-34,0.291795504781754,0.621,0.55,1.05351624018224e-29,1.22416286078953
Jun,2.34533108305787e-166,0.290679915654304,0.228,0.101,7.5669762063779e-162,1.22321662138077
Nat8f6,8.56166728773759e-32,0.289527731689863,0.576,0.52,2.76233633371566e-27,1.22224011012851
Epb41,7.19847373297747e-139,0.289328942991779,0.971,0.963,2.32251556520785e-134,1.22207170947911
Gm15261,1.50912580443797e-56,0.289197259303956,0.424,0.331,4.86904349543867e-52,1.22196016853611
Prlr,0.407755129690651,0.288988308353521,0.174,0.183,1,1.22178320026348
Slc27a1,3.76097727744326e-237,0.288428431106551,0.312,0.14,1.21344170879429e-232,1.22130914588576
Ptpn1,2.21557018547953e-90,0.287675608074433,0.527,0.403,7.14831564643115e-86,1.22067201206126
Unc5c,7.56341233619625e-25,0.287567722136032,0.622,0.585,2.44025935615036e-20,1.22058073260315
Errfi1,3.82058413747876e-200,0.287469201929882,0.969,0.908,1.23267326611615e-195,1.22049738320765
Nxph1,2.86371812964316e-16,0.287353585309334,0.258,0.219,9.23950017348068e-12,1.22039957727863
Col27a1,3.0222719626904e-34,0.287117235985858,0.676,0.61,9.75105826042429e-30,1.22019966185596
Gpat3,9.21224651028755e-40,0.286228182446972,0.194,0.134,2.97223921407918e-35,1.21944795161427
D630045J12Rik,1.89569790207534e-73,0.282292847500402,0.756,0.671,6.11627971125587e-69,1.21612611521594
