rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Socs6,0.437655086,0.328859421,0.158,0.103,1,1.256019986,,,
Hnf4g,0.519680084,0.328805292,0.211,0.154,1,1.255972862,,,
Dpysl2,0.494341135,0.328788261,0.421,0.385,1,1.255958036,,,
Trub2,0.827513421,0.328757776,0.158,0.154,1,1.255931497,,,
Jun,0.213932959,0.328563083,0.263,0.154,1,1.255762019,,,
Pom121,0.157872941,0.328527959,0.211,0.103,1,1.255731446,,,
Tsga10,0.814669284,0.328346371,0.132,0.154,1,1.255573401,,,
Mid1,0.876487557,0.328328276,0.342,0.359,1,1.255557653,,,
Xpnpep1,0.479182815,0.328312174,0.368,0.308,1,1.255543639,,,
Lrrfip1,0.150060955,0.32785511,0.816,0.872,1,1.255145931,,,
Gm15614,0.470819387,0.327745746,0.263,0.205,1,1.255050788,,,
Cstf2t,0.07763471,0.327247862,0.132,0.026,1,1.254617735,,,
Cbx1,0.172645829,0.327212503,0.342,0.205,1,1.254586987,,,
Rtca,0.070625529,0.32716969,0.184,0.051,1,1.254549756,,,
Glb1l,0.313904016,0.326882908,0.211,0.128,1,1.254300399,,,
Ppard,0.167316811,0.326835593,0.421,0.282,1,1.254259263,,,
Plekhg5,0.313904016,0.32675086,0.211,0.128,1,1.2541856,,,
Napg,0.384591567,0.326722934,0.237,0.154,1,1.254161323,,,
Tspan13,0.123661518,0.326472525,0.342,0.179,1,1.253943657,,,
Hexa,0.130973111,0.325443502,0.158,0.051,1,1.253049582,,,
Gtf3c2,0.897675995,0.32525053,0.316,0.333,1,1.252881988,,,
Ptar1,0.471380261,0.325109512,0.289,0.231,1,1.252759529,,,
Slc30a5,0.218928214,0.324928352,0.289,0.179,1,1.25260223,,,
Gm16196,0.089353601,0.324917009,0.132,0.026,1,1.252592381,,,
Fam168b,0.221528936,0.324834315,0.368,0.256,1,1.252520586,,,
Dusp14,0.081393405,0.324287431,0.132,0.026,1,1.252045882,,,
Kdm4c,0.501895259,0.324126076,0.579,0.59,1,1.251905857,,,
Wdsub1,0.02068038,0.323962891,0.132,0,1,1.251764261,,,
E330009J07Rik,0.281458461,0.323904449,0.316,0.205,1,1.251713554,,,
Scfd1,0.757740961,0.323525484,0.342,0.333,1,1.251384799,,,
Ankrd27,0.657260701,0.323498897,0.158,0.128,1,1.251361738,,,
Zfp235,0.040053808,0.323240028,0.105,0,1,1.25113722,,,
Naxd,0.284836508,0.322858752,0.211,0.128,1,1.250806613,,,
Eri2,0.02068038,0.322475283,0.132,0,1,1.250474192,,,
Acbd6,0.482527939,0.322309605,0.395,0.359,1,1.250330597,,,
Cdc42se1,0.609580984,0.322058025,0.158,0.128,1,1.250112581,,,
Slc17a3,0.234764589,0.322039532,0.158,0.308,1,1.250096556,,,
Wasl,0.475291852,0.322009611,0.658,0.718,1,1.25007063,,,
Pja2,0.391081442,0.321996693,0.474,0.41,1,1.250059438,,,
Ammecr1,0.563469629,0.32153923,0.184,0.154,1,1.249663119,,,
Ptprd,0.084161948,0.321205811,0.947,0.974,1,1.249374345,,,
Cdk7,0.658847484,0.32112939,0.342,0.333,1,1.249308166,,,
Ythdf2,0.309232082,0.321083712,0.237,0.154,1,1.249268612,,,
Cnot8,0.121440874,0.320695839,0.158,0.051,1,1.248932787,,,
