rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Slc34a1,0.001320029,0.279963366,0.355,0.253,1,1.214164053,,,
Acadl,1.04E-05,0.279906186,0.554,0.403,0.335900251,1.214115931,,,
Tcp1,9.69E-05,0.279528127,0.369,0.258,1,1.213797814,,,
Ywhag,0.001170455,0.279525434,0.336,0.253,1,1.213795548,,,
Gm32461,0.166024886,0.278896441,0.394,0.357,1,1.213266467,,,
Arhgef28,2.20E-05,0.27861692,0.936,0.952,0.709302625,1.213031421,,,
Btg3,3.78E-05,0.278305651,0.31,0.189,1,1.212769731,,,
Lipa,0.000692571,0.278049868,0.37,0.27,1,1.212554731,,,
Kdm5c,0.000187738,0.277455217,0.455,0.352,1,1.212055043,,,
Pptc7,0.000641817,0.277421364,0.365,0.268,1,1.212026602,,,
Lims2,0.000600937,0.276940165,0.349,0.247,1,1.211622408,,,
Setd7,0.000178617,0.276157763,0.28,0.181,1,1.2109655,,,
Map1b,0.114322321,0.275860497,0.137,0.105,1,1.210716007,,,
Kcnk5,0.144922474,0.27555667,0.592,0.712,1,1.21046106,,,
Zfp36l1,0.005946841,0.275459542,0.699,0.622,1,1.21037957,,,
Acat3,0.00096545,0.275361933,0.358,0.263,1,1.210297682,,,
Tom1,0.000424741,0.274300875,0.375,0.268,1,1.209407872,,,
G6pc,0.448504123,0.273249239,0.147,0.13,1,1.20852661,,,
Gm42679,0.00252278,0.272584998,0.156,0.092,1,1.207970311,,,
Ppl,0.008571791,0.272545269,0.18,0.12,1,1.207937047,,,
Gm15886,0.000976229,0.272192847,0.208,0.128,1,1.207642008,,,
Igf2r,0.004231039,0.272153736,0.436,0.355,1,1.207609269,,,
Morf4l1,0.003662356,0.27153472,0.522,0.444,1,1.207091233,,,
Adgrg2,0.047081429,0.270768603,0.282,0.224,1,1.206450399,,,
Spsb1,0.008526699,0.270601192,0.182,0.122,1,1.20631041,,,
Ccnd3,0.000158064,0.269708826,0.519,0.401,1,1.205564488,,,
Aldob,0.759236005,0.269667238,0.192,0.207,1,1.205529737,,,
Ptpn1,0.006907428,0.269533272,0.42,0.344,1,1.205417798,,,
Syncrip,8.36E-05,0.269314667,0.585,0.469,1,1.205235161,,,
Dab1,0.000593987,0.268848027,0.275,0.181,1,1.20484539,,,
Csrp2,0.000364414,0.268833026,0.37,0.26,1,1.204832863,,,
Prkx,0.000456115,0.267366627,0.178,0.099,1,1.203608856,,,
Cpeb1,0.000261245,0.267324742,0.476,0.355,1,1.203573913,,,
Slc20a1,0.008543583,0.267140093,0.469,0.383,1,1.203419878,,,
Angpt1,0.93768035,0.266811729,0.204,0.219,1,1.203146006,,,
