rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Nox4,4.16E-74,-0.363329799,0,0.115,1.34E-69,-1.286391518,,,
Gadd45g,1.36E-15,-0.364731811,0.199,0.31,4.38E-11,-1.287642242,,,
Fbxl17,3.72E-21,-0.365513377,0.86,0.926,1.20E-16,-1.288339999,,,
Top2b,3.40E-14,-0.366027616,0.33,0.441,1.10E-09,-1.2887993,,,
Ybx1,2.12E-25,-0.366487296,0.344,0.527,6.84E-21,-1.289210011,,,
Uap1,1.74E-66,-0.367536055,0.03,0.194,5.62E-62,-1.290147535,,,
5031425E22Rik,2.49E-19,-0.367925384,0.599,0.754,8.03E-15,-1.290495744,,,
Gpc4,2.20E-25,-0.369204374,0.202,0.37,7.09E-21,-1.291640313,,,
Gm49003,3.39E-13,-0.37062085,0.058,0.13,1.09E-08,-1.292909102,,,
Cep85,4.17E-75,-0.370956083,0.038,0.231,1.35E-70,-1.293209565,,,
Evi5,2.04E-26,-0.373114732,0.376,0.563,6.60E-22,-1.295145993,,,
Samd9l,2.23E-17,-0.374252301,0.3,0.434,7.19E-13,-1.296167621,,,
6330410L21Rik,8.32E-17,-0.376200375,0.154,0.271,2.68E-12,-1.297919022,,,
Parp8,3.97E-16,-0.376405577,0.389,0.522,1.28E-11,-1.298103645,,,
Cop1,2.79E-19,-0.377676458,0.406,0.55,8.99E-15,-1.299247658,,,
Atp5g3,6.72E-92,-0.381343122,0.018,0.205,2.17E-87,-1.302553944,,,
Mfhas1,1.77E-20,-0.383751236,0.174,0.304,5.72E-16,-1.304729953,,,
Neurl1b,2.54E-21,-0.384180658,0.092,0.201,8.20E-17,-1.305118368,,,
Ryr2,5.17E-15,-0.386038465,0.139,0.249,1.67E-10,-1.306800095,,,
Ugt8a,2.86E-32,-0.386125755,0.244,0.448,9.22E-28,-1.306879165,,,
Mpv17l,2.26E-118,-0.388068258,0,0.184,7.28E-114,-1.308639986,,,
Sestd1,5.70E-22,-0.388564464,0.7,0.825,1.84E-17,-1.309090161,,,
Enpp2,1.61E-24,-0.388687711,0.484,0.683,5.18E-20,-1.309202,,,
Ralyl,4.97E-11,-0.38878513,0.265,0.365,1.60E-06,-1.309290407,,,
Pde3b,1.78E-52,-0.391658619,0.067,0.247,5.74E-48,-1.311900786,,,
Egfr,1.65E-30,-0.392236139,0.232,0.429,5.32E-26,-1.312426054,,,
Son,6.72E-22,-0.398950425,0.822,0.897,2.17E-17,-1.318548305,,,
Arhgap15,1.61E-77,-0.398954455,0.006,0.143,5.18E-73,-1.318551988,,,
Pank1,3.94E-18,-0.4002742,0.329,0.472,1.27E-13,-1.319758722,,,
Srsf5,2.23E-14,-0.400626002,0.303,0.415,7.18E-10,-1.320080585,,,
Fggy,3.70E-35,-0.401076422,0.07,0.21,1.19E-30,-1.320492788,,,
Gnai1,4.61E-17,-0.401578574,0.286,0.421,1.49E-12,-1.320952486,,,
Abhd17c,1.97E-18,-0.402385356,0.273,0.406,6.35E-14,-1.321691394,,,
Suclg2,9.84E-21,-0.40276655,0.446,0.608,3.18E-16,-1.322040661,,,
Lrmda,5.71E-16,-0.410484127,0.296,0.445,1.84E-11,-1.329131758,,,
Cadps2,1.26E-15,-0.412339362,0.327,0.455,4.05E-11,-1.330842056,,,
Slc5a1,7.51E-22,-0.413280703,0.183,0.326,2.42E-17,-1.331710697,,,
Oxr1,3.61E-19,-0.414401285,0.326,0.478,1.17E-14,-1.332745476,,,
Stk32b,2.17E-25,-0.415133922,0.642,0.785,6.99E-21,-1.33342245,,,
Mef2c,7.26E-19,-0.41565874,0.159,0.288,2.34E-14,-1.333907606,,,
Atxn1,9.66E-21,-0.41660634,0.567,0.726,3.12E-16,-1.334784038,,,
Slco3a1,2.23E-19,-0.419797104,0.421,0.576,7.20E-15,-1.337739406,,,
Arhgef18,1.68E-20,-0.420540195,0.52,0.646,5.41E-16,-1.338428615,,,
Ldlrad3,3.30E-29,-0.422675951,0.205,0.376,1.07E-24,-1.340411483,,,
Tcf20,2.55E-24,-0.42398219,0.371,0.55,8.22E-20,-1.341625662,,,
Srek1,4.54E-25,-0.426355152,0.644,0.781,1.47E-20,-1.3438342,,,
Spp1,4.82E-30,-0.426731224,0.163,0.341,1.55E-25,-1.344184547,,,
Cntn5,3.05E-15,-0.430731704,0.108,0.205,9.85E-11,-1.347917038,,,
Atp6v0a4,1.47E-30,-0.431922523,0.397,0.618,4.73E-26,-1.349030085,,,
Nfyc,3.36E-30,-0.431963526,0.843,0.928,1.08E-25,-1.349068427,,,
Gm47708,2.42E-23,-0.43255873,0.112,0.236,7.82E-19,-1.349625119,,,
Naaladl2,6.03E-24,-0.433323496,0.218,0.376,1.94E-19,-1.350340738,,,
Iqsec1,7.30E-24,-0.4430404,0.479,0.629,2.36E-19,-1.359466311,,,
Gm19951,1.94E-26,-0.445296306,0.369,0.559,6.27E-22,-1.361593737,,,
Adhfe1,1.08E-48,-0.457580758,0.144,0.352,3.48E-44,-1.373237118,,,
Picalm,1.06E-24,-0.457582542,0.568,0.724,3.41E-20,-1.373238815,,,
Rtl4,9.00E-17,-0.458210586,0.11,0.218,2.90E-12,-1.373836753,,,
Prkaa2,1.31E-25,-0.464634055,0.463,0.62,4.21E-21,-1.379967275,,,
Ppara,1.65E-66,-0.470583037,0.041,0.222,5.33E-62,-1.385669347,,,
Wdfy3,3.75E-27,-0.472485487,0.624,0.758,1.21E-22,-1.387497803,,,
Slc30a9,4.89E-28,-0.47371261,0.403,0.568,1.58E-23,-1.388678478,,,
Cdkl1,2.17E-29,-0.474927472,0.752,0.857,6.99E-25,-1.389848346,,,
Sult1d1,2.65E-24,-0.477773149,0.421,0.592,8.56E-20,-1.39259249,,,
Pam,4.02E-33,-0.478746477,0.378,0.59,1.30E-28,-1.393532333,,,
Ddx5,1.68E-21,-0.481507249,0.457,0.62,5.42E-17,-1.39620158,,,
Cflar,2.31E-67,-0.482500965,0.094,0.326,7.46E-63,-1.397163603,,,
Srsf6,6.95E-78,-0.483435354,0.057,0.274,2.24E-73,-1.398068796,,,
Col4a3,8.57E-36,-0.484558602,0.712,0.88,2.77E-31,-1.399157723,,,
Foxo1,8.97E-43,-0.48963178,0.239,0.471,2.89E-38,-1.404086464,,,
Hsph1,1.67E-82,-0.494462709,0.064,0.293,5.40E-78,-1.408795991,,,
Nrxn3,1.67E-08,-0.494968294,0.162,0.239,0.000539494,-1.409289783,,,
Vps13c,1.43E-25,-0.495918671,0.365,0.537,4.61E-21,-1.41021846,,,
2210408F21Rik,3.73E-18,-0.496349126,0.564,0.686,1.20E-13,-1.410639288,,,
Ncoa7,2.59E-31,-0.498706969,0.48,0.679,8.35E-27,-1.412946626,,,
Lamb1,9.16E-26,-0.503246112,0.396,0.562,2.96E-21,-1.417399173,,,
Pik3c2g,7.49E-97,-0.505296132,0,0.15,2.42E-92,-1.41941468,,,
Tspan5,2.44E-60,-0.506568589,0.056,0.238,7.89E-56,-1.420667156,,,
Stxbp6,4.48E-73,-0.509722103,0.046,0.242,1.44E-68,-1.423775916,,,
Gm44588,3.87E-32,-0.510322548,0.342,0.541,1.25E-27,-1.424368611,,,
Tinag,1.59E-42,-0.516127037,0.17,0.377,5.12E-38,-1.43011091,,,
Plcb1,1.45E-51,-0.518765,0.847,0.971,4.67E-47,-1.432728254,,,
Sipa1l1,8.42E-63,-0.518896962,0.142,0.392,2.72E-58,-1.432859311,,,
Tnfrsf21,2.13E-67,-0.524501763,0.016,0.162,6.86E-63,-1.438436728,,,
Tfcp2l1,5.10E-22,-0.527147039,0.736,0.845,1.65E-17,-1.441076616,,,
Nectin3,1.53E-28,-0.529625651,0.344,0.522,4.93E-24,-1.443554575,,,
Colgalt2,3.89E-28,-0.530320612,0.185,0.351,1.26E-23,-1.444250118,,,
Kcnj16,8.46E-48,-0.532343241,0.7,0.903,2.73E-43,-1.446276347,,,
Ppp1r1a,2.17E-41,-0.532455522,0.622,0.798,6.99E-37,-1.44638891,,,
Slc5a12,3.18E-89,-0.54012915,0,0.138,1.02E-84,-1.454102683,,,
Svopl,5.73E-49,-0.541881406,0.174,0.393,1.85E-44,-1.455869867,,,
Sugct,3.10E-30,-0.54332115,0.288,0.486,9.99E-26,-1.457323485,,,
Prkd1,1.65E-27,-0.549389685,0.574,0.749,5.33E-23,-1.463466463,,,
Gphn,2.38E-54,-0.555048288,0.873,0.948,7.67E-50,-1.469217808,,,
Nuak2,6.09E-48,-0.555358128,0.142,0.354,1.97E-43,-1.469533378,,,
Sh3d19,9.00E-72,-0.558136483,0.053,0.257,2.90E-67,-1.472366145,,,
Plxdc2,2.50E-46,-0.55905766,0.877,0.965,8.06E-42,-1.473306568,,,
Cadm2,5.32E-28,-0.562774558,0.234,0.419,1.71E-23,-1.477107227,,,
