rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Slc25a30,2.75E-17,-0.325708711,0.046,0.173,8.87E-13,-1.25327995,,,
Wdr72,9.60E-11,-0.326241475,0.093,0.207,3.10E-06,-1.253742852,,,
Epsti1,2.54E-08,-0.326324618,0.041,0.111,0.000819195,-1.253815107,,,
Vgll4,7.99E-11,-0.326653853,0.348,0.512,2.58E-06,-1.25410127,,,
Mpv17l,2.57E-16,-0.326749144,0.073,0.212,8.28E-12,-1.254184108,,,
Gpi1,4.15E-27,-0.328832323,0.05,0.23,1.34E-22,-1.255996394,,,
Snx7,5.51E-11,-0.330864083,0.15,0.282,1.78E-06,-1.257766472,,,
Maf,9.69E-10,-0.330988245,0.496,0.652,3.13E-05,-1.257874723,,,
C330002G04Rik,4.08E-15,-0.331066426,0.024,0.119,1.32E-10,-1.25794289,,,
Zfp706,1.09E-24,-0.33192904,0.011,0.135,3.50E-20,-1.258695262,,,
Cdk8,1.35E-11,-0.332188892,0.734,0.89,4.35E-07,-1.258921993,,,
Afap1l2,1.54E-06,-0.332855568,0.288,0.39,0.049547588,-1.259503881,,,
Nr3c1,1.49E-07,-0.33339132,0.508,0.626,0.004806622,-1.259971692,,,
Ugt3a2,1.92E-28,-0.334049358,0.012,0.155,6.18E-24,-1.260546517,,,
Castor2,5.52E-12,-0.334151559,0.071,0.179,1.78E-07,-1.260635818,,,
Cspp1,4.20E-13,-0.33426626,0.407,0.599,1.36E-08,-1.260736048,,,
Mpp1,7.04E-20,-0.334284502,0.024,0.141,2.27E-15,-1.260751989,,,
Fhod3,1.44E-09,-0.334451711,0.167,0.293,4.64E-05,-1.26089812,,,
Dnm3,9.75E-08,-0.334467447,0.254,0.386,0.003144591,-1.260911873,,,
Sox6,1.53E-08,-0.334808564,0.254,0.39,0.000494455,-1.261210043,,,
Pde7a,1.63E-09,-0.335184021,0.253,0.389,5.25E-05,-1.261538312,,,
Cpt1a,3.57E-10,-0.33521787,0.216,0.356,1.15E-05,-1.261567911,,,
Tprkb,2.52E-24,-0.335221934,0.017,0.149,8.12E-20,-1.261571465,,,
Rab11fip3,5.76E-07,-0.335638475,0.174,0.278,0.018571933,-1.261935764,,,
Arhgef3,2.82E-11,-0.335780164,0.578,0.749,9.09E-07,-1.262059706,,,
Cpeb3,7.29E-12,-0.336060076,0.307,0.482,2.35E-07,-1.262304595,,,
Pdcd4,1.32E-09,-0.336583705,0.296,0.441,4.26E-05,-1.262762834,,,
Galnt11,2.37E-14,-0.338192109,0.081,0.213,7.65E-10,-1.264171424,,,
Ivns1abp,6.88E-19,-0.338332414,0.028,0.147,2.22E-14,-1.264294373,,,
Stxbp6,1.89E-12,-0.338456431,0.099,0.227,6.10E-08,-1.264403059,,,
Dennd1b,2.79E-08,-0.338879998,0.44,0.559,0.000899727,-1.264774335,,,
Slc22a23,5.33E-15,-0.339452837,0.058,0.18,1.72E-10,-1.265276628,,,
Nceh1,5.97E-19,-0.341435377,0.073,0.228,1.93E-14,-1.267016557,,,
Cltrn,3.32E-23,-0.341461223,0.011,0.131,1.07E-18,-1.267039256,,,
Slc22a5,1.88E-11,-0.34166468,0.212,0.362,6.08E-07,-1.267217953,,,
Rbl2,2.99E-07,-0.34214841,0.188,0.285,0.009632206,-1.267642918,,,
Msra,3.35E-12,-0.342257848,0.233,0.402,1.08E-07,-1.267739081,,,
Rufy3,4.64E-11,-0.34270498,0.229,0.39,1.50E-06,-1.26813205,,,
Gm6999,4.17E-20,-0.343034657,0.027,0.15,1.35E-15,-1.26842187,,,
Dock5,3.09E-10,-0.344643043,0.11,0.219,9.98E-06,-1.269836756,,,
Nit1,7.15E-25,-0.344648408,0.025,0.167,2.31E-20,-1.269841479,,,
4931406C07Rik,2.99E-16,-0.344704777,0.111,0.269,9.65E-12,-1.269891094,,,
Nadk2,1.64E-13,-0.345001096,0.107,0.242,5.28E-09,-1.270151948,,,
Patj,1.33E-12,-0.345556295,0.205,0.369,4.29E-08,-1.27064084,,,
Abcc4,1.18E-07,-0.345780249,0.386,0.509,0.00379123,-1.270838101,,,
Fmo1,2.38E-20,-0.345815461,0.014,0.125,7.66E-16,-1.270869118,,,
Camk1d,3.86E-18,-0.349284262,0.887,0.973,1.25E-13,-1.27392846,,,
Cdcp1,3.12E-27,-0.349611474,0.008,0.138,1.01E-22,-1.274217427,,,
Ets1,1.07E-07,-0.349692076,0.541,0.631,0.003444312,-1.274288619,,,
Arhgap15,4.17E-07,-0.349807251,0.456,0.59,0.013439961,-1.274390353,,,
Osbpl9,8.50E-11,-0.350867963,0.499,0.668,2.74E-06,-1.275327667,,,
Abca3,1.07E-22,-0.351204017,0.074,0.251,3.46E-18,-1.27562477,,,
A1cf,5.10E-17,-0.35383594,0.055,0.186,1.65E-12,-1.277954029,,,
Dock8,3.97E-12,-0.355537243,0.233,0.398,1.28E-07,-1.27946195,,,
Myo6,3.61E-12,-0.356095805,0.416,0.595,1.16E-07,-1.279957409,,,
Hgf,4.56E-07,-0.356392802,0.244,0.351,0.014712845,-1.280220931,,,
Hnf1b,5.30E-12,-0.357331977,0.095,0.221,1.71E-07,-1.28105461,,,
Phldb2,1.47E-12,-0.357469914,0.588,0.766,4.73E-08,-1.281177098,,,
Exoc6,3.05E-14,-0.357715425,0.19,0.354,9.84E-10,-1.281395141,,,
P3h2,4.50E-07,-0.358408971,0.357,0.48,0.014532566,-1.282011294,,,
Ppp2r5e,6.72E-09,-0.358566511,0.465,0.622,0.000216743,-1.282151295,,,
Erbb4,1.79E-22,-0.359920253,0.13,0.353,5.77E-18,-1.283354956,,,
Sfxn1,5.99E-19,-0.359943394,0.102,0.273,1.93E-14,-1.283375541,,,
Sema4d,1.40E-18,-0.360317689,0.035,0.158,4.50E-14,-1.283708546,,,
Tmem106b,4.12E-20,-0.360715097,0.139,0.326,1.33E-15,-1.284062208,,,
Slc25a13,5.11E-15,-0.360847171,0.075,0.206,1.65E-10,-1.284179765,,,
Il15,8.90E-10,-0.361678487,0.178,0.302,2.87E-05,-1.284919953,,,
Angptl4,2.60E-19,-0.361682921,0.048,0.186,8.39E-15,-1.284923903,,,
Sestd1,1.97E-09,-0.361800244,0.252,0.387,6.35E-05,-1.2850284,,,
Slc25a51,2.08E-21,-0.362216422,0.045,0.191,6.72E-17,-1.285399149,,,
Cldn10,1.75E-17,-0.36309824,0.039,0.162,5.64E-13,-1.286185063,,,
Lurap1l,8.70E-09,-0.363660676,0.115,0.218,0.000280621,-1.286686582,,,
Adhfe1,1.98E-15,-0.364345994,0.103,0.254,6.40E-11,-1.287297936,,,
Clmn,5.94E-17,-0.365471169,0.082,0.233,1.92E-12,-1.288302307,,,
Gm10732,2.08E-18,-0.365828041,0.031,0.149,6.70E-14,-1.288621027,,,
Vdr,1.02E-11,-0.366785364,0.055,0.156,3.30E-07,-1.289476396,,,
Foxo1,2.46E-12,-0.367588405,0.394,0.58,7.92E-08,-1.290194351,,,
Ankrd33b,4.30E-10,-0.369112523,0.067,0.162,1.39E-05,-1.291558082,,,
Cep85,1.32E-19,-0.369825894,0.072,0.23,4.27E-15,-1.292196877,,,
Abhd17c,1.98E-24,-0.369950044,0.042,0.203,6.39E-20,-1.292308082,,,
Cobll1,1.07E-15,-0.369952912,0.357,0.589,3.45E-11,-1.29231065,,,
Spon1,1.26E-10,-0.37103156,0.741,0.829,4.08E-06,-1.293277223,,,
Tpk1,1.49E-10,-0.371050673,0.287,0.446,4.80E-06,-1.293294357,,,
Cat,1.77E-21,-0.371689741,0.039,0.18,5.70E-17,-1.293867371,,,
Aldh9a1,1.55E-32,-0.373331034,0.004,0.15,5.01E-28,-1.295340187,,,
Pax2,1.75E-09,-0.373616257,0.13,0.246,5.66E-05,-1.295596303,,,
Lpin1,4.88E-11,-0.37495157,0.247,0.402,1.58E-06,-1.296796021,,,
Wwp1,1.03E-09,-0.376499313,0.371,0.52,3.34E-05,-1.298187989,,,
Map2k6,4.42E-11,-0.377526789,0.128,0.251,1.43E-06,-1.299112877,,,
Srsf2,2.19E-20,-0.378112596,0.02,0.138,7.06E-16,-1.29964049,,,
Tmem117,3.58E-07,-0.3788666,0.095,0.182,0.011559058,-1.300319906,,,
Nhs,5.33E-07,-0.378893458,0.446,0.572,0.017192841,-1.300344114,,,
Nuak1,2.38E-09,-0.380685845,0.201,0.324,7.67E-05,-1.30196065,,,
Gramd3,2.41E-08,-0.383225762,0.253,0.378,0.000778267,-1.304254817,,,
