rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Pear1,0.000435798,0.293009921,0.154,0.097,1,1.225193757,,,
Recql5,0.002108262,0.292560679,0.234,0.17,1,1.224812302,,,
Pomgnt1,9.31E-05,0.291384675,0.279,0.194,1,1.223814311,,,
Plekha1,0.004427071,0.290749431,0.417,0.359,1,1.223275563,,,
Cmtm4,0.001212594,0.290058736,0.172,0.116,1,1.222690056,,,
Arhgap8,0.036675317,0.289553058,0.273,0.233,1,1.222261567,,,
Galnt10,0.000550638,0.289429748,0.127,0.073,1,1.222157102,,,
Slc16a10,0.775760969,0.289268025,0.408,0.427,1,1.222020109,,,
Drg1,0.00013229,0.289042672,0.446,0.341,1,1.221829241,,,
Rin2,0.010294425,0.288891424,0.331,0.281,1,1.221701154,,,
Sik1,0.004414644,0.288241331,0.49,0.434,1,1.221150767,,,
Zdhhc20,0.000194176,0.288039631,0.517,0.424,1,1.220980052,,,
Apela,0.004142159,0.287538362,0.213,0.154,1,1.220555893,,,
Phykpl,0.000288752,0.287285064,0.352,0.26,1,1.220341615,,,
Lrch1,0.003711023,0.287274918,0.568,0.535,1,1.220333033,,,
Cachd1,0.153950761,0.287080356,0.112,0.093,1,1.22016847,,,
Ntn1,0.00529007,0.285804018,0.133,0.086,1,1.219089476,,,
Zfp609,0.005260636,0.285795324,0.525,0.478,1,1.21908213,,,
Naa20,2.08E-06,0.285377821,0.274,0.167,0.067237763,1.21872939,,,
Rasal1,0.03727951,0.285269751,0.268,0.23,1,1.2186381,,,
Sptssb,0.000631576,0.285036026,0.138,0.078,1,1.21844069,,,
Sertad2,0.002485928,0.285003148,0.461,0.388,1,1.218412923,,,
Sh3bp4,0.002602553,0.284708958,0.197,0.143,1,1.218164492,,,
Rsbn1l,2.72E-05,0.28428488,0.43,0.334,0.876394805,1.217806467,,,
Strbp,0.000653944,0.284124944,0.716,0.68,1,1.21767147,,,
Gmcl1,0.000176457,0.283410026,0.225,0.147,1,1.21706821,,,
Pxn,5.25E-05,0.283147158,0.478,0.361,1,1.216846473,,,
Gm31683,9.31E-06,0.282668957,0.177,0.091,0.300267567,1.2164432,,,
Nfkbiz,0.197423928,0.281846678,0.358,0.351,1,1.215750072,,,
Usp2,4.95E-05,0.281689552,0.161,0.09,1,1.215617671,,,
Hs2st1,0.082791764,0.281508717,0.271,0.243,1,1.215465308,,,
Gm17106,2.24E-05,0.281133009,0.252,0.157,0.721282891,1.215148817,,,
Cobll1,0.072636825,0.28087318,0.921,0.922,1,1.214929989,,,
Akap8l,0.004595029,0.280759504,0.514,0.458,1,1.214834264,,,
Rufy1,0.001172908,0.279947556,0.249,0.178,1,1.214150748,,,
Lrig1,0.096758443,0.278930365,0.321,0.294,1,1.213294996,,,
Cp,0.368200319,0.278651243,0.366,0.362,1,1.21306028,,,
Fbxl2,5.42E-05,0.278284722,0.193,0.116,1,1.212752137,,,
Zscan21,0.002044389,0.277980147,0.213,0.155,1,1.212496134,,,
Ncoa6,0.001670063,0.277673551,0.49,0.421,1,1.212238486,,,
Adgrg1,0.000334662,0.277659979,0.531,0.454,1,1.212227082,,,
Vti1b,0.000871644,0.27728958,0.323,0.243,1,1.211915894,,,
Idh2,0.09879046,0.277151305,0.217,0.187,1,1.211799743,,,
Srsf10,3.20E-05,0.277016617,0.679,0.586,1,1.211686616,,,
Sgpp2,0.888066783,0.275961952,0.178,0.191,1,1.210801152,,,
Npnt,0.528464346,0.275714807,0.331,0.35,1,1.21059375,,,
Ino80dos,0.004155171,0.275530137,0.258,0.195,1,1.210438799,,,
Kcnk1,0.000612192,0.275072182,0.252,0.178,1,1.21005463,,,
Nxn,0.011320488,0.274628153,0.161,0.118,1,1.20968226,,,
Lgals3,0.007375333,0.274595439,0.247,0.19,1,1.20965483,,,
Rsf1os1,2.71E-06,0.274166031,0.178,0.09,0.087576957,1.209294838,,,
Rnf185,0.015239811,0.27386965,0.263,0.213,1,1.209046432,,,
Tom1l1,0.000332317,0.273840018,0.249,0.174,1,1.209021599,,,
Gipc2,0.002299684,0.273776258,0.305,0.241,1,1.208968167,,,
Gm10550,0.000161551,0.273629209,0.12,0.063,1,1.208844947,,,
Arhgef1,0.000224842,0.273141233,0.273,0.191,1,1.208436138,,,
Cpeb1,0.11899695,0.273106685,0.242,0.213,1,1.2084072,,,
Ptpn9,0.004198893,0.27262881,0.374,0.315,1,1.208006996,,,
Nub1,0.000291025,0.272599951,0.297,0.214,1,1.207982832,,,
Alpk1,0.006241042,0.272437917,0.136,0.091,1,1.207847167,,,
Dock6,0.002464923,0.272413342,0.27,0.204,1,1.207826592,,,
Gulp1,0.068963666,0.272078576,0.103,0.077,1,1.207546358,,,
Metap2,0.006596597,0.271451535,0.337,0.271,1,1.207021635,,,
Anxa11,0.019783569,0.270857605,0.48,0.442,1,1.206524829,,,
Degs1,0.0057624,0.270311193,0.255,0.2,1,1.206067952,,,
A430090L17Rik,0.006921373,0.268687569,0.307,0.245,1,1.204711393,,,
Myo5b,0.739845315,0.268204955,0.795,0.825,1,1.204308458,,,
Taf1d,6.02E-05,0.267414777,0.38,0.272,1,1.203649027,,,
Nipal2,0.00056825,0.26676167,0.12,0.066,1,1.203104259,,,
Spag9,0.004683376,0.266689705,0.822,0.827,1,1.203044247,,,
Rc3h2,0.009609652,0.266549939,0.424,0.385,1,1.202927704,,,
Nampt,0.209482084,0.266276979,0.22,0.204,1,1.20270013,,,
Gm26749,0.000438574,0.266127575,0.201,0.13,1,1.202575586,,,
C77080,0.000197322,0.265835502,0.199,0.128,1,1.202332149,,,
Bcam,0.001058611,0.265813629,0.358,0.284,1,1.202313921,,,
Tmem178b,0.013569794,0.265729504,0.14,0.097,1,1.202243815,,,
Gm32250,7.96E-06,0.265219824,0.122,0.054,0.25674027,1.201819158,,,
Spns2,0.097848197,0.265117332,0.323,0.302,1,1.201733781,,,
Gm31763,0.000735597,0.264983901,0.186,0.118,1,1.201622641,,,
