rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Gm20646,0.656483737,0.254102819,0.108,0.103,1,1.192593864,,,
Ube2i,0.258671797,0.25339943,0.319,0.299,1,1.192012554,,,
Zscan21,0.028966661,0.253275887,0.227,0.157,1,1.191910482,,,
Gm48342,0.010052486,0.252533736,0.103,0.046,1,1.191297498,,,
Cdc42bpb,0.166596093,0.251995562,0.643,0.607,1,1.190853186,,,
Psmd5,0.417406498,0.251808349,0.178,0.162,1,1.190698663,,,
Gng12,0.175938313,0.251276324,0.703,0.718,1,1.190259649,,,
Eif2ak1,0.256724764,0.251244009,0.151,0.123,1,1.190232988,,,
Arhgef5,0.06241232,0.251217206,0.324,0.259,1,1.190210876,,,
Fbxl2,0.101471237,0.250651214,0.151,0.108,1,1.189744029,,,
Syap1,0.243909353,0.250479707,0.27,0.245,1,1.189602601,,,
Tmod3,0.279969195,0.250125458,0.205,0.177,1,1.189310534,,,
Arl13b,0.031265758,-0.250097411,0.114,0.188,1,-1.189287413,,,
Slc35e2,0.003278835,-0.250151984,0.097,0.194,1,-1.189332402,,,
Phc3,0.006892379,-0.250417709,0.324,0.453,1,-1.189551481,,,
Sall1,0.00158157,-0.250947717,0.092,0.197,1,-1.189988571,,,
Lifr,0.008159056,-0.251272765,0.216,0.328,1,-1.190256712,,,
Rasa2,0.006758089,-0.251605183,0.259,0.379,1,-1.190530997,,,
Eif3e,0.003091581,-0.25206073,0.157,0.271,1,-1.190906979,,,
Stat1,0.034326891,-0.252212269,0.119,0.185,1,-1.191032077,,,
Rundc1,0.002913934,-0.252215507,0.059,0.145,1,-1.191034751,,,
Tia1,0.044097474,-0.252219831,0.33,0.419,1,-1.19103832,,,
Vdac1,0.006117457,-0.252335982,0.265,0.379,1,-1.191134215,,,
4930453N24Rik,0.011707431,-0.252538309,0.092,0.171,1,-1.191301274,,,
Tprkb,2.44E-05,-0.252608738,0.011,0.114,0.786375072,-1.191359431,,,
Tcea3,1.72E-05,-0.252637291,0.011,0.117,0.553369438,-1.191383011,,,
Mlh1,0.060398309,-0.252737221,0.092,0.145,1,-1.191465536,,,
Cdk10,0.003307801,-0.252760701,0.043,0.12,1,-1.191484927,,,
Ercc5,0.00639056,-0.25305122,0.141,0.245,1,-1.191724884,,,
Tbc1d2,0.012133477,-0.253082278,0.13,0.225,1,-1.191750539,,,
Nectin3,0.00715798,-0.253084604,0.173,0.282,1,-1.19175246,,,
BC005561,0.023869387,-0.2531157,0.438,0.541,1,-1.191778148,,,
Taf1d,0.0064535,-0.253371868,0.265,0.385,1,-1.191989781,,,
Agpat3,0.017565583,-0.253605217,0.254,0.35,1,-1.192182596,,,
Shld1,0.063013241,-0.25370271,0.151,0.217,1,-1.192263162,,,
Spata6,0.012167836,-0.253711322,0.146,0.236,1,-1.19227028,,,
Lrrc19,0.000499396,-0.253728593,0.049,0.148,1,-1.192284553,,,
Lsm6,0.014620923,-0.254092578,0.092,0.162,1,-1.192585399,,,
Gnai1,0.017896147,-0.254167186,0.195,0.285,1,-1.192647074,,,
Ptcd3,0.010227473,-0.254277592,0.178,0.279,1,-1.192738347,,,
Zfp91,0.000458787,-0.254307493,0.227,0.41,1,-1.192763069,,,
Mdm4,0.021454318,-0.254509815,0.438,0.541,1,-1.192930352,,,
Elp3,0.002036529,-0.254833961,0.07,0.165,1,-1.19319841,,,
Mylk,0.002279948,-0.254935087,0.049,0.131,1,-1.193282051,,,
Sh3tc1,0.024818706,-0.255012214,0.162,0.236,1,-1.193345846,,,
Atf7ip,0.000484839,-0.255160972,0.281,0.439,1,-1.1934689,,,
Acaca,0.006476218,-0.255443197,0.151,0.259,1,-1.193702393,,,
Lage3,0.00021259,-0.255774009,0.032,0.134,1,-1.193976142,,,
Gria3,0.000645849,-0.25579183,0.027,0.114,1,-1.193990891,,,
Cnnm2,0.001797779,-0.255935607,0.216,0.365,1,-1.194109888,,,
Slc45a4,0.014541252,-0.256062806,0.2,0.296,1,-1.194215175,,,
Cryz,2.62E-06,-0.256090063,0,0.111,0.084417324,-1.194237738,,,
Rbm25,0.019993188,-0.256192,0.681,0.761,1,-1.194322122,,,
Kyat1,0.000173296,-0.256366606,0.114,0.256,1,-1.194466677,,,
Klhdc7a,0.001217856,-0.256408026,0.086,0.197,1,-1.19450097,,,
Gde1,0.033359841,-0.256781896,0.162,0.234,1,-1.194810562,,,
