rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Ntn4,5.34E-68,-0.508433755,0.236,0.374,1.72E-63,-1.422505031,,,
Ugt3a2,3.46E-69,-0.510665742,0.557,0.659,1.12E-64,-1.424707485,,,
Agps,2.96E-106,-0.512281503,0.185,0.363,9.54E-102,-1.426303995,,,
Cdkl1,9.14E-47,-0.514745664,0.313,0.413,2.95E-42,-1.428742241,,,
Slc22a4,1.01E-77,-0.516676354,0.274,0.417,3.25E-73,-1.430655539,,,
Gcnt1,2.88E-81,-0.522209842,0.804,0.845,9.30E-77,-1.436153386,,,
Plxdc2,1.48E-182,-0.523770197,0.936,0.979,4.79E-178,-1.437707506,,,
Fam13a,3.12E-92,-0.526273399,0.426,0.593,1.01E-87,-1.44020422,,,
Npnt,1.47E-87,-0.52703741,0.221,0.376,4.76E-83,-1.440967113,,,
Chst11,5.68E-123,-0.527210082,0.286,0.497,1.83E-118,-1.441139589,,,
Ranbp3l,2.23E-88,-0.53553636,0.4,0.551,7.18E-84,-1.449480937,,,
Dusp11,9.60E-82,-0.540003926,0.502,0.611,3.10E-77,-1.453976474,,,
Itgb6,5.58E-188,-0.542498581,0.145,0.399,1.80E-183,-1.456492812,,,
Ctnna2,6.12E-103,-0.547949915,0.123,0.293,1.98E-98,-1.462006692,,,
Slit2,1.27E-150,-0.549219805,0.027,0.173,4.09E-146,-1.463294147,,,
Abat,3.83E-93,-0.557131174,0.508,0.637,1.24E-88,-1.471340518,,,
Depdc1b,1.19E-115,-0.559635821,0.117,0.282,3.83E-111,-1.473897115,,,
Gclc,1.26E-118,-0.565065854,0.124,0.301,4.06E-114,-1.47945504,,,
Bcl11b,2.28E-82,-0.5688784,0.444,0.584,7.34E-78,-1.4833699,,,
Gm45792,2.19E-115,-0.572962808,0.279,0.495,7.06E-111,-1.487575413,,,
Gm6999,1.91E-91,-0.573477479,0.534,0.667,6.16E-87,-1.488106189,,,
Slc22a18,9.87E-89,-0.577551751,0.443,0.575,3.18E-84,-1.492314645,,,
Naaladl2,9.55E-185,-0.580321492,0.036,0.215,3.08E-180,-1.4951824,,,
Map3k7cl,1.02E-136,-0.580468926,0.064,0.225,3.31E-132,-1.495335206,,,
Gphn,5.57E-305,-0.582552485,0.974,0.993,1.80E-300,-1.497496348,,,
Il15,1.56E-88,-0.584985582,0.475,0.606,5.03E-84,-1.500023998,,,
Hnf4aos,1.71E-135,-0.585925246,0.823,0.903,5.53E-131,-1.50100132,,,
Pcdh17,1.16E-175,-0.596081685,0.052,0.235,3.75E-171,-1.511605513,,,
Rdh16f2,1.69E-93,-0.59779516,0.105,0.246,5.46E-89,-1.513401898,,,
Itm2b,6.08E-159,-0.599130601,0.11,0.317,1.96E-154,-1.514803438,,,
Akr1c21,2.00E-124,-0.605777138,0.324,0.538,6.44E-120,-1.521798281,,,
Ccser1,3.09E-169,-0.606492792,0.092,0.298,9.96E-165,-1.522553362,,,
Parp8,2.22E-200,-0.613517193,0.164,0.418,7.16E-196,-1.529984665,,,
Dst,9.07E-121,-0.614870758,0.632,0.785,2.93E-116,-1.5314208,,,
Slc22a30,6.43E-91,-0.635080469,0.416,0.593,2.07E-86,-1.553024371,,,
Slc15a2,2.95E-191,-0.64147789,0.147,0.38,9.51E-187,-1.559926322,,,
Nlrp6,2.62E-121,-0.645537724,0.318,0.489,8.44E-117,-1.564322235,,,
Timd2,1.17E-182,-0.655832531,0.089,0.295,3.77E-178,-1.575524874,,,
Cyp2e1,4.90E-111,-0.657393512,0.136,0.305,1.58E-106,-1.577230498,,,
Slc6a6,5.51E-169,-0.659582286,0.646,0.842,1.78E-164,-1.579625197,,,
Ivns1abp,2.42E-123,-0.660680853,0.554,0.719,7.79E-119,-1.580828491,,,
Them7,5.43E-120,-0.67157455,0.776,0.862,1.75E-115,-1.592810404,,,
Gm19951,8.02E-132,-0.678428513,0.38,0.577,2.59E-127,-1.60039554,,,
Dnase1,2.34E-183,-0.682474647,0.047,0.233,7.56E-179,-1.604890255,,,
Aldh1l1,1.08E-224,-0.689811526,0.169,0.443,3.49E-220,-1.613072773,,,
Sema5a,7.14E-153,-0.691700939,0.288,0.492,2.30E-148,-1.615186704,,,
AY036118,3.10E-87,-0.733786212,0.206,0.359,9.99E-83,-1.662997745,,,
Erc2,2.66E-125,-0.765809364,0.356,0.572,8.60E-121,-1.700323626,,,
P3h2,1.02E-245,-0.820902093,0.76,0.919,3.30E-241,-1.766510216,,,
Atp11a,1.60E-168,-0.83631632,0.052,0.232,5.17E-164,-1.785485379,,,
Gm19950,1.14E-210,-0.85388542,0.396,0.698,3.69E-206,-1.807361906,,,
Spp1,4.65E-242,-0.869227263,0.017,0.211,1.50E-237,-1.826684229,,,
Slc22a28,3.66E-171,-0.909911261,0.607,0.758,1.18E-166,-1.878929924,,,
Erbb4,2.76E-219,-0.950597167,0.01,0.18,8.92E-215,-1.932672473,,,
Gm26917,3.67E-305,-1.048632336,0.774,0.904,1.18E-300,-2.068567931,,,
Gm42397,3.02E-259,-1.075241343,0.158,0.468,9.74E-255,-2.107074527,,,
Gpx3,1.12E-229,-1.115335185,0.062,0.295,3.60E-225,-2.16645337,,,
Dach1,0,-1.136465394,0.208,0.577,0,-2.1984175,,,
Slco3a1,0,-1.153797832,0.348,0.737,0,-2.224988427,,,
Camk1d,0,-1.189983445,0.69,0.948,0,-2.281501251,,,
Slc14a2,5.63E-151,-1.331748247,0.007,0.125,1.82E-146,-2.517075074,,,
Lars2,0,-2.190892172,0.049,0.677,0,-4.565877559,,,
Cmss1,0,-2.199167049,0.675,0.97,0,-4.592141348,,,
Gm42418,0,-2.385313193,0.912,1,0,-5.224573223,,,
Syn3,5.20E-06,0.347745858,0.717,0.688,0.167667844,1.272570742,,,
Miox,0.957085544,0.327421858,0.488,0.542,1,1.254769057,,,
Ptpn22,0.009359342,0.292205791,0.105,0.093,1,1.224511048,,,
